supplier_id,name,region,reliability_score
SUP-0073,Kestrel Tooling Group #73,Lindmoor,0.82
SUP-0074,Windrift Tooling Group #74,Lindmoor,0.82
SUP-0075,Cobalt Peak Components Co. #75,Lindmoor,0.97
SUP-0076,Windrift Fabrication Ltd. #76,Marrow Vale,0.91
SUP-0077,Graystone Fabrication Ltd. #77,Stonebrook Junction,0.96
SUP-0078,Northfield Components Co. #78,Kestrel Bay,0.97
SUP-0079,Northfield Fabrication Ltd. #79,Northfell,0.9
SUP-0080,Cobalt Peak Precision Works #80,Northfell,0.77
SUP-0081,Amberfield Metal Forms Inc. #81,Marrow Vale,0.81
SUP-0082,Riverside Components Co. #82,Verdant Hollow,0.81
SUP-0083,Amberfield Tooling Group #83,Emberfield,0.96
SUP-0084,Ashgrove Precision Works #84,Draymoor,0.96
SUP-0085,Windrift Components Co. #85,Verdant Hollow,0.76
SUP-0086,Riverside Precision Works #86,Emberfield,0.86
SUP-0087,Kestrel Tooling Group #87,Lindmoor,0.88
SUP-0088,Riverside Components Co. #88,Kestrel Bay,0.97
SUP-0089,Ironwood Precision Works #89,Marrow Vale,0.73
SUP-0090,Kestrel Tooling Group #90,Kestrel Bay,0.82
SUP-0091,Ironwood Tooling Group #91,Emberfield,0.78
SUP-0092,Ironwood Fabrication Ltd. #92,Stonebrook Junction,0.99
SUP-0093,Windrift Metal Forms Inc. #93,Marrow Vale,0.96
SUP-0094,Ashgrove Precision Works #94,Marrow Vale,0.78
SUP-0095,Riverside Fabrication Ltd. #95,Kestrel Bay,0.84
SUP-0096,Northfield Components Co. #96,Marrow Vale,0.75
SUP-0097,Silverline Metal Forms Inc. #97,Draymoor,0.8
SUP-0098,Windrift Metal Forms Inc. #98,Lindmoor,0.79
SUP-0099,Northfield Tooling Group #99,Aurelport,0.88
SUP-0100,Riverside Fabrication Ltd. #100,Emberfield,0.86
SUP-0101,Windrift Metal Forms Inc. #101,Northfell,0.96
SUP-0102,Amberfield Fabrication Ltd. #102,Northfell,0.74
SUP-0103,Kestrel Fabrication Ltd. #103,Draymoor,0.94
SUP-0104,Windrift Tooling Group #104,Emberfield,0.93
SUP-0105,Windrift Precision Works #105,Northfell,0.98
SUP-0106,Windrift Fabrication Ltd. #106,Draymoor,0.92
SUP-0107,Amberfield Precision Works #107,Marrow Vale,0.84
SUP-0108,Riverside Precision Works #108,Stonebrook Junction,0.87
SUP-0109,Cobalt Peak Fabrication Ltd. #109,Northfell,0.9
SUP-0110,Riverside Tooling Group #110,Verdant Hollow,0.97
SUP-0111,Riverside Components Co. #111,Marrow Vale,0.93
SUP-0112,Silverline Metal Forms Inc. #112,Draymoor,0.84
SUP-0113,Ironwood Metal Forms Inc. #113,Verdant Hollow,0.76
SUP-0114,Riverside Precision Works #114,Marrow Vale,0.88
SUP-0115,Kestrel Metal Forms Inc. #115,Verdant Hollow,0.89
SUP-0116,Riverside Fabrication Ltd. #116,Emberfield,0.9
SUP-0117,Ashgrove Components Co. #117,Kestrel Bay,0.78
SUP-0118,Kestrel Components Co. #118,Northfell,0.78
SUP-0119,Ashgrove Fabrication Ltd. #119,Marrow Vale,0.87
SUP-0120,Ashgrove Components Co. #120,Lindmoor,0.91
SUP-0121,Amberfield Tooling Group #121,Draymoor,0.82
SUP-0122,Windrift Components Co. #122,Windrift,0.91
SUP-0123,Amberfield Tooling Group #123,Northfell,0.89
SUP-0124,Amberfield Metal Forms Inc. #124,Kestrel Bay,0.89
SUP-0125,Kestrel Fabrication Ltd. #125,Aurelport,0.95
SUP-0126,Cobalt Peak Metal Forms Inc. #126,Northfell,0.97
SUP-0127,Ironwood Components Co. #127,Emberfield,0.92
SUP-0128,Kestrel Fabrication Ltd. #128,Northfell,0.93
SUP-0129,Kestrel Metal Forms Inc. #129,Windrift,0.94
SUP-0130,Amberfield Components Co. #130,Stonebrook Junction,0.83
SUP-0131,Ironwood Fabrication Ltd. #131,Marrow Vale,0.85
SUP-0132,Graystone Precision Works #132,Windrift,0.82
SUP-0133,Ironwood Fabrication Ltd. #133,Stonebrook Junction,0.84
SUP-0134,Graystone Fabrication Ltd. #134,Windrift,0.88
SUP-0135,Graystone Tooling Group #135,Aurelport,0.97
SUP-0136,Kestrel Metal Forms Inc. #136,Marrow Vale,0.93
SUP-0137,Windrift Precision Works #137,Windrift,0.74
SUP-0138,Riverside Precision Works #138,Aurelport,0.81
SUP-0139,Amberfield Metal Forms Inc. #139,Verdant Hollow,0.97
SUP-0140,Amberfield Fabrication Ltd. #140,Northfell,0.82
SUP-0141,Ironwood Fabrication Ltd. #141,Northfell,0.95
SUP-0142,Ashgrove Precision Works #142,Stonebrook Junction,0.97
SUP-0143,Silverline Precision Works #143,Kestrel Bay,0.89
SUP-0144,Windrift Tooling Group #144,Windrift,0.79
SUP-0145,Ironwood Tooling Group #145,Stonebrook Junction,0.72
SUP-0146,Windrift Tooling Group #146,Kestrel Bay,0.7
SUP-0147,Ironwood Tooling Group #147,Kestrel Bay,0.99
SUP-0148,Graystone Fabrication Ltd. #148,Draymoor,0.97
SUP-0149,Kestrel Fabrication Ltd. #149,Stonebrook Junction,0.77
SUP-0150,Amberfield Components Co. #150,Verdant Hollow,0.96
SUP-0151,Silverline Components Co. #151,Emberfield,0.79
SUP-0152,Silverline Precision Works #152,Northfell,0.88
SUP-0153,Windrift Metal Forms Inc. #153,Draymoor,0.81
SUP-0154,Northfield Precision Works #154,Windrift,0.97
SUP-0155,Amberfield Precision Works #155,Lindmoor,0.85
SUP-0156,Ashgrove Components Co. #156,Marrow Vale,0.74
SUP-0157,Silverline Precision Works #157,Emberfield,0.89
SUP-0158,Silverline Fabrication Ltd. #158,Stonebrook Junction,0.83
SUP-0159,Kestrel Tooling Group #159,Northfell,0.96
SUP-0160,Graystone Tooling Group #160,Marrow Vale,0.72
SUP-0161,Cobalt Peak Components Co. #161,Windrift,0.83
SUP-0162,Ashgrove Metal Forms Inc. #162,Kestrel Bay,0.9
SUP-0163,Northfield Tooling Group #163,Lindmoor,0.9
SUP-0164,Ironwood Tooling Group #164,Northfell,0.98
SUP-0165,Amberfield Tooling Group #165,Marrow Vale,0.79
SUP-0166,Northfield Precision Works #166,Emberfield,0.73
SUP-0167,Riverside Metal Forms Inc. #167,Northfell,0.79
SUP-0168,Northfield Precision Works #168,Windrift,0.96
SUP-0169,Ironwood Metal Forms Inc. #169,Northfell,0.94
SUP-0170,Kestrel Metal Forms Inc. #170,Stonebrook Junction,0.86
SUP-0171,Cobalt Peak Precision Works #171,Stonebrook Junction,0.79
SUP-0172,Riverside Metal Forms Inc. #172,Stonebrook Junction,0.72
SUP-0173,Cobalt Peak Tooling Group #173,Kestrel Bay,0.78
SUP-0174,Windrift Components Co. #174,Northfell,0.9
SUP-0175,Northfield Components Co. #175,Lindmoor,0.92
SUP-0176,Cobalt Peak Tooling Group #176,Windrift,0.77
SUP-0177,Riverside Precision Works #177,Verdant Hollow,0.71
SUP-0178,Cobalt Peak Tooling Group #178,Northfell,0.86
SUP-0179,Windrift Tooling Group #179,Kestrel Bay,0.78
SUP-0180,Cobalt Peak Fabrication Ltd. #180,Windrift,0.75
SUP-0181,Windrift Components Co. #181,Marrow Vale,0.82
SUP-0182,Cobalt Peak Precision Works #182,Aurelport,0.74
SUP-0183,Northfield Fabrication Ltd. #183,Marrow Vale,0.98
SUP-0184,Cobalt Peak Tooling Group #184,Aurelport,0.8
SUP-0185,Windrift Precision Works #185,Marrow Vale,0.8
SUP-0186,Kestrel Tooling Group #186,Emberfield,0.71
SUP-0187,Riverside Tooling Group #187,Aurelport,0.79
SUP-0188,Silverline Tooling Group #188,Aurelport,0.77
SUP-0189,Silverline Tooling Group #189,Lindmoor,0.99
SUP-0190,Amberfield Metal Forms Inc. #190,Aurelport,0.74
SUP-0191,Ashgrove Fabrication Ltd. #191,Aurelport,0.85
SUP-0192,Ashgrove Precision Works #192,Emberfield,0.94
SUP-0193,Windrift Metal Forms Inc. #193,Emberfield,0.85
SUP-0194,Northfield Metal Forms Inc. #194,Emberfield,0.76
SUP-0195,Ashgrove Precision Works #195,Lindmoor,0.72
SUP-0196,Silverline Components Co. #196,Draymoor,0.9
SUP-0197,Graystone Metal Forms Inc. #197,Windrift,0.9
SUP-0198,Silverline Fabrication Ltd. #198,Marrow Vale,0.96
SUP-0199,Ironwood Components Co. #199,Windrift,0.75
SUP-0200,Kestrel Tooling Group #200,Emberfield,0.82
SUP-0201,Windrift Fabrication Ltd. #201,Lindmoor,0.81
SUP-0202,Windrift Components Co. #202,Kestrel Bay,0.77
SUP-0203,Northfield Metal Forms Inc. #203,Emberfield,0.83
SUP-0204,Kestrel Fabrication Ltd. #204,Draymoor,0.89
SUP-0205,Silverline Metal Forms Inc. #205,Northfell,0.94
SUP-0206,Riverside Precision Works #206,Aurelport,0.94
SUP-0207,Silverline Components Co. #207,Lindmoor,0.74
SUP-0208,Windrift Components Co. #208,Draymoor,0.88
SUP-0209,Windrift Components Co. #209,Draymoor,0.78
SUP-0210,Cobalt Peak Tooling Group #210,Aurelport,0.97
SUP-0211,Northfield Metal Forms Inc. #211,Aurelport,0.87
SUP-0212,Cobalt Peak Tooling Group #212,Northfell,0.79
SUP-0213,Cobalt Peak Metal Forms Inc. #213,Windrift,0.88
SUP-0214,Graystone Tooling Group #214,Aurelport,0.74
SUP-0215,Kestrel Precision Works #215,Northfell,0.89
SUP-0216,Riverside Metal Forms Inc. #216,Aurelport,0.9
SUP-0217,Amberfield Metal Forms Inc. #217,Draymoor,0.92
SUP-0218,Cobalt Peak Metal Forms Inc. #218,Windrift,0.96
SUP-0219,Silverline Components Co. #219,Stonebrook Junction,0.82
SUP-0220,Amberfield Tooling Group #220,Northfell,0.82
SUP-0221,Riverside Metal Forms Inc. #221,Emberfield,0.72
SUP-0222,Cobalt Peak Precision Works #222,Emberfield,0.99
SUP-0223,Graystone Fabrication Ltd. #223,Draymoor,0.8
SUP-0224,Northfield Metal Forms Inc. #224,Northfell,0.99
SUP-0225,Amberfield Components Co. #225,Aurelport,0.99
SUP-0226,Windrift Components Co. #226,Stonebrook Junction,0.83
SUP-0227,Windrift Components Co. #227,Kestrel Bay,0.78
SUP-0228,Kestrel Fabrication Ltd. #228,Marrow Vale,0.93
SUP-0229,Ashgrove Fabrication Ltd. #229,Draymoor,0.96
SUP-0230,Northfield Precision Works #230,Verdant Hollow,0.89
SUP-0231,Ashgrove Fabrication Ltd. #231,Emberfield,0.82
SUP-0232,Windrift Metal Forms Inc. #232,Lindmoor,0.95
SUP-0233,Amberfield Metal Forms Inc. #233,Kestrel Bay,0.91
SUP-0234,Kestrel Tooling Group #234,Verdant Hollow,0.71
SUP-0235,Riverside Components Co. #235,Windrift,0.82
SUP-0236,Northfield Fabrication Ltd. #236,Kestrel Bay,0.91
SUP-0237,Kestrel Precision Works #237,Aurelport,0.71
SUP-0238,Amberfield Precision Works #238,Draymoor,0.89
SUP-0239,Ironwood Tooling Group #239,Lindmoor,0.97
SUP-0240,Cobalt Peak Components Co. #240,Stonebrook Junction,0.73
SUP-0241,Northfield Precision Works #241,Northfell,0.99
SUP-0242,Riverside Tooling Group #242,Aurelport,0.71
SUP-0243,Kestrel Metal Forms Inc. #243,Draymoor,0.83
SUP-0244,Northfield Precision Works #244,Aurelport,0.98
SUP-0245,Northfield Fabrication Ltd. #245,Stonebrook Junction,0.71
SUP-0246,Kestrel Components Co. #246,Draymoor,0.94
SUP-0247,Riverside Tooling Group #247,Windrift,0.92
SUP-0248,Cobalt Peak Precision Works #248,Windrift,0.87
SUP-0249,Silverline Tooling Group #249,Emberfield,0.94
SUP-0250,Graystone Fabrication Ltd. #250,Marrow Vale,0.91
SUP-0251,Kestrel Precision Works #251,Windrift,0.81
SUP-0252,Riverside Precision Works #252,Northfell,0.73
SUP-0253,Kestrel Fabrication Ltd. #253,Northfell,0.73
SUP-0254,Northfield Metal Forms Inc. #254,Aurelport,0.83
SUP-0255,Riverside Precision Works #255,Verdant Hollow,0.88
SUP-0256,Ironwood Precision Works #256,Kestrel Bay,0.82
SUP-0257,Ashgrove Tooling Group #257,Aurelport,0.7
SUP-0258,Ironwood Fabrication Ltd. #258,Aurelport,0.86
SUP-0259,Northfield Components Co. #259,Marrow Vale,0.76
SUP-0260,Ashgrove Metal Forms Inc. #260,Marrow Vale,0.73
SUP-0261,Ashgrove Components Co. #261,Kestrel Bay,0.71
SUP-0262,Northfield Precision Works #262,Emberfield,0.89
SUP-0263,Ironwood Components Co. #263,Verdant Hollow,0.73
SUP-0264,Riverside Fabrication Ltd. #264,Emberfield,0.87
SUP-0265,Riverside Tooling Group #265,Stonebrook Junction,0.95
SUP-0266,Ironwood Fabrication Ltd. #266,Marrow Vale,0.81
SUP-0267,Silverline Fabrication Ltd. #267,Stonebrook Junction,0.88
SUP-0268,Northfield Tooling Group #268,Aurelport,0.91
SUP-0269,Northfield Fabrication Ltd. #269,Lindmoor,0.75
SUP-0270,Ironwood Components Co. #270,Emberfield,0.72
SUP-0271,Ironwood Components Co. #271,Windrift,0.8
SUP-0272,Cobalt Peak Components Co. #272,Lindmoor,0.98
SUP-0273,Amberfield Metal Forms Inc. #273,Verdant Hollow,0.71
SUP-0274,Graystone Tooling Group #274,Marrow Vale,0.74
SUP-0275,Kestrel Metal Forms Inc. #275,Draymoor,0.96
SUP-0276,Riverside Precision Works #276,Stonebrook Junction,0.89
SUP-0277,Northfield Fabrication Ltd. #277,Kestrel Bay,0.88
SUP-0278,Amberfield Components Co. #278,Aurelport,0.97
SUP-0279,Kestrel Components Co. #279,Aurelport,0.7
SUP-0280,Graystone Metal Forms Inc. #280,Stonebrook Junction,0.83
SUP-0281,Kestrel Metal Forms Inc. #281,Windrift,0.71
SUP-0282,Graystone Tooling Group #282,Verdant Hollow,0.79
SUP-0283,Amberfield Components Co. #283,Windrift,0.88
SUP-0284,Cobalt Peak Precision Works #284,Lindmoor,0.93
SUP-0285,Riverside Tooling Group #285,Stonebrook Junction,0.75
SUP-0286,Ashgrove Tooling Group #286,Windrift,0.74
SUP-0287,Northfield Components Co. #287,Emberfield,0.72
SUP-0288,Northfield Fabrication Ltd. #288,Windrift,0.9
SUP-0289,Ironwood Metal Forms Inc. #289,Draymoor,0.81
SUP-0290,Cobalt Peak Fabrication Ltd. #290,Kestrel Bay,0.96
SUP-0291,Ashgrove Precision Works #291,Kestrel Bay,0.9
SUP-0292,Ashgrove Metal Forms Inc. #292,Aurelport,0.75
SUP-0293,Ashgrove Components Co. #293,Stonebrook Junction,0.97
SUP-0294,Silverline Precision Works #294,Emberfield,0.81
SUP-0295,Northfield Metal Forms Inc. #295,Windrift,0.78
SUP-0296,Silverline Precision Works #296,Verdant Hollow,0.91
SUP-0297,Amberfield Components Co. #297,Verdant Hollow,0.82
SUP-0298,Silverline Precision Works #298,Kestrel Bay,0.79
SUP-0299,Ironwood Precision Works #299,Emberfield,0.81
SUP-0300,Northfield Components Co. #300,Kestrel Bay,0.71
SUP-0301,Ashgrove Fabrication Ltd. #301,Windrift,0.78
SUP-0302,Ironwood Fabrication Ltd. #302,Lindmoor,0.93
SUP-0303,Windrift Metal Forms Inc. #303,Lindmoor,0.9
SUP-0304,Ashgrove Precision Works #304,Emberfield,0.87
SUP-0305,Cobalt Peak Precision Works #305,Windrift,0.97
SUP-0306,Graystone Metal Forms Inc. #306,Northfell,0.77
SUP-0307,Windrift Tooling Group #307,Northfell,0.75
SUP-0308,Ashgrove Metal Forms Inc. #308,Stonebrook Junction,0.98
SUP-0309,Windrift Fabrication Ltd. #309,Windrift,0.73
SUP-0310,Northfield Fabrication Ltd. #310,Aurelport,0.96
SUP-0311,Graystone Tooling Group #311,Emberfield,0.75
SUP-0312,Amberfield Precision Works #312,Kestrel Bay,0.73
SUP-0313,Amberfield Precision Works #313,Kestrel Bay,0.82
SUP-0314,Amberfield Fabrication Ltd. #314,Verdant Hollow,0.8
SUP-0315,Amberfield Tooling Group #315,Kestrel Bay,0.71
SUP-0316,Kestrel Components Co. #316,Northfell,0.79
SUP-0317,Amberfield Fabrication Ltd. #317,Lindmoor,0.9
SUP-0318,Kestrel Components Co. #318,Verdant Hollow,0.73
SUP-0319,Amberfield Components Co. #319,Kestrel Bay,0.96
SUP-0320,Riverside Fabrication Ltd. #320,Windrift,0.73
SUP-0321,Graystone Components Co. #321,Stonebrook Junction,0.76
SUP-0322,Graystone Precision Works #322,Marrow Vale,0.81
SUP-0323,Riverside Components Co. #323,Stonebrook Junction,0.77
SUP-0324,Graystone Fabrication Ltd. #324,Lindmoor,0.82
SUP-0325,Riverside Tooling Group #325,Draymoor,0.86
SUP-0326,Windrift Metal Forms Inc. #326,Draymoor,0.87
SUP-0327,Ashgrove Metal Forms Inc. #327,Marrow Vale,0.8
SUP-0328,Silverline Metal Forms Inc. #328,Draymoor,0.72
SUP-0329,Kestrel Metal Forms Inc. #329,Verdant Hollow,0.96
SUP-0330,Kestrel Components Co. #330,Verdant Hollow,0.96
SUP-0331,Amberfield Components Co. #331,Aurelport,0.76
SUP-0332,Riverside Components Co. #332,Emberfield,0.83
SUP-0333,Graystone Tooling Group #333,Marrow Vale,0.92
SUP-0334,Ashgrove Metal Forms Inc. #334,Marrow Vale,0.76
SUP-0335,Riverside Fabrication Ltd. #335,Northfell,0.98
SUP-0336,Amberfield Components Co. #336,Marrow Vale,0.78
SUP-0337,Riverside Tooling Group #337,Marrow Vale,0.79
SUP-0338,Northfield Precision Works #338,Verdant Hollow,0.77
SUP-0339,Northfield Fabrication Ltd. #339,Lindmoor,0.74
SUP-0340,Riverside Components Co. #340,Aurelport,0.99
SUP-0341,Windrift Precision Works #341,Aurelport,0.81
SUP-0342,Northfield Fabrication Ltd. #342,Lindmoor,0.89
SUP-0343,Amberfield Precision Works #343,Verdant Hollow,0.85
SUP-0344,Ironwood Fabrication Ltd. #344,Stonebrook Junction,0.83
SUP-0345,Northfield Fabrication Ltd. #345,Windrift,0.71
SUP-0346,Amberfield Precision Works #346,Northfell,0.75
SUP-0347,Ashgrove Components Co. #347,Stonebrook Junction,0.98
SUP-0348,Northfield Precision Works #348,Marrow Vale,0.71
SUP-0349,Amberfield Precision Works #349,Lindmoor,0.81
SUP-0350,Riverside Fabrication Ltd. #350,Stonebrook Junction,0.97
SUP-0351,Ashgrove Fabrication Ltd. #351,Northfell,0.91
SUP-0352,Silverline Precision Works #352,Aurelport,0.78
SUP-0353,Ironwood Precision Works #353,Kestrel Bay,0.96
SUP-0354,Ironwood Precision Works #354,Lindmoor,0.99
SUP-0355,Graystone Components Co. #355,Kestrel Bay,0.79
SUP-0356,Riverside Metal Forms Inc. #356,Kestrel Bay,0.74
SUP-0357,Ironwood Metal Forms Inc. #357,Draymoor,0.79
SUP-0358,Kestrel Components Co. #358,Draymoor,0.76
SUP-0359,Amberfield Tooling Group #359,Draymoor,0.76
SUP-0360,Ironwood Components Co. #360,Aurelport,0.8
SUP-0361,Amberfield Metal Forms Inc. #361,Emberfield,0.88
SUP-0362,Ashgrove Metal Forms Inc. #362,Kestrel Bay,0.93
SUP-0363,Riverside Metal Forms Inc. #363,Lindmoor,0.71
SUP-0364,Kestrel Components Co. #364,Northfell,0.98
SUP-0365,Ironwood Tooling Group #365,Lindmoor,0.84
SUP-0366,Northfield Tooling Group #366,Kestrel Bay,0.72
SUP-0367,Graystone Precision Works #367,Stonebrook Junction,0.92
SUP-0368,Windrift Fabrication Ltd. #368,Windrift,0.94
SUP-0369,Ironwood Tooling Group #369,Verdant Hollow,0.94
SUP-0370,Northfield Precision Works #370,Aurelport,0.88
SUP-0371,Northfield Precision Works #371,Northfell,0.71
SUP-0372,Ashgrove Precision Works #372,Northfell,0.82
SUP-0373,Graystone Components Co. #373,Northfell,0.93
SUP-0374,Cobalt Peak Fabrication Ltd. #374,Kestrel Bay,0.73
SUP-0375,Ironwood Precision Works #375,Emberfield,0.98
SUP-0376,Northfield Precision Works #376,Kestrel Bay,0.98
SUP-0377,Silverline Fabrication Ltd. #377,Emberfield,0.74
SUP-0378,Ironwood Metal Forms Inc. #378,Northfell,0.99
SUP-0379,Kestrel Tooling Group #379,Emberfield,0.94
SUP-0380,Cobalt Peak Metal Forms Inc. #380,Emberfield,0.75
SUP-0381,Ironwood Tooling Group #381,Draymoor,0.84
SUP-0382,Graystone Tooling Group #382,Emberfield,0.77
SUP-0383,Cobalt Peak Fabrication Ltd. #383,Windrift,0.75
SUP-0384,Silverline Metal Forms Inc. #384,Stonebrook Junction,0.75
SUP-0385,Kestrel Tooling Group #385,Northfell,0.73
SUP-0386,Kestrel Components Co. #386,Draymoor,0.76
SUP-0387,Cobalt Peak Components Co. #387,Kestrel Bay,0.98
SUP-0388,Northfield Precision Works #388,Draymoor,0.95
SUP-0389,Ashgrove Components Co. #389,Emberfield,0.92
SUP-0390,Northfield Precision Works #390,Stonebrook Junction,0.88
SUP-0391,Graystone Components Co. #391,Lindmoor,0.76
SUP-0392,Windrift Components Co. #392,Aurelport,0.85
SUP-0393,Graystone Components Co. #393,Lindmoor,0.73
SUP-0394,Amberfield Components Co. #394,Northfell,0.88
SUP-0395,Northfield Fabrication Ltd. #395,Windrift,0.76
SUP-0396,Kestrel Tooling Group #396,Kestrel Bay,0.88
SUP-0397,Ironwood Components Co. #397,Marrow Vale,0.75
SUP-0398,Ashgrove Precision Works #398,Marrow Vale,0.91
SUP-0399,Ironwood Metal Forms Inc. #399,Lindmoor,0.9
SUP-0400,Silverline Components Co. #400,Draymoor,0.98
SUP-0401,Kestrel Fabrication Ltd. #401,Lindmoor,0.94
SUP-0402,Amberfield Tooling Group #402,Verdant Hollow,0.98
SUP-0403,Kestrel Fabrication Ltd. #403,Northfell,0.91
SUP-0404,Cobalt Peak Tooling Group #404,Verdant Hollow,0.73
SUP-0405,Ironwood Fabrication Ltd. #405,Lindmoor,0.8
SUP-0406,Ironwood Tooling Group #406,Verdant Hollow,0.77
SUP-0407,Windrift Fabrication Ltd. #407,Northfell,0.91
SUP-0408,Ironwood Precision Works #408,Lindmoor,0.8
SUP-0409,Ashgrove Precision Works #409,Verdant Hollow,0.94
SUP-0410,Cobalt Peak Precision Works #410,Lindmoor,0.75
SUP-0411,Graystone Fabrication Ltd. #411,Stonebrook Junction,0.78
SUP-0412,Silverline Fabrication Ltd. #412,Kestrel Bay,0.83
SUP-0413,Riverside Metal Forms Inc. #413,Northfell,0.85
SUP-0414,Ironwood Fabrication Ltd. #414,Marrow Vale,0.7
SUP-0415,Northfield Components Co. #415,Marrow Vale,0.72
SUP-0416,Ironwood Tooling Group #416,Verdant Hollow,0.75
SUP-0417,Amberfield Precision Works #417,Verdant Hollow,0.79
SUP-0418,Ironwood Metal Forms Inc. #418,Kestrel Bay,0.94
SUP-0419,Amberfield Fabrication Ltd. #419,Windrift,0.71
SUP-0420,Graystone Fabrication Ltd. #420,Draymoor,0.87
SUP-0421,Amberfield Metal Forms Inc. #421,Draymoor,0.7
