change_id,issue_id,description,status,created_at
EC-00045,QI-03396,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-02-02
EC-00046,QI-03093,Engineering change addressing: surface finish outside specification,implemented,2026-05-21
EC-00047,QI-01768,Engineering change addressing: material hardness below specification,in_progress,2026-07-12
EC-00048,QI-08086,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-02-07
EC-00049,QI-08985,Engineering change addressing: material hardness below specification,proposed,2026-05-12
EC-00050,QI-08091,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-03-08
EC-00051,QI-08151,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-07-19
EC-00052,QI-00511,Engineering change addressing: material hardness below specification,proposed,2026-08-18
EC-00053,QI-01410,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-05-24
EC-00054,QI-11223,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-02-14
EC-00055,QI-07048,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-02-19
EC-00056,QI-06829,Engineering change addressing: seal leakage detected during pressure test,approved,2026-06-05
EC-00057,QI-05731,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-03-12
EC-00058,QI-04689,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-05-07
EC-00059,QI-00320,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-05-21
EC-00060,QI-04989,Engineering change addressing: surface finish outside specification,proposed,2026-06-04
EC-00061,QI-07338,Engineering change addressing: seal leakage detected during pressure test,approved,2026-06-14
EC-00062,QI-09274,Engineering change addressing: surface finish outside specification,proposed,2026-06-28
EC-00063,QI-01499,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-01-09
EC-00064,QI-00193,Engineering change addressing: surface finish outside specification,proposed,2026-04-24
EC-00065,QI-10181,Engineering change addressing: material hardness below specification,approved,2026-05-12
EC-00066,QI-11965,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-05-06
EC-00067,QI-10549,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-06-18
EC-00068,QI-07672,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-03-11
EC-00069,QI-08083,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-02-20
EC-00070,QI-05430,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-03-22
EC-00071,QI-01107,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-04-12
EC-00072,QI-05071,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-03-05
EC-00073,QI-04868,Engineering change addressing: surface finish outside specification,proposed,2026-02-08
EC-00074,QI-04665,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-06-12
EC-00075,QI-05467,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-08-02
EC-00076,QI-06066,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-08-20
EC-00077,QI-09440,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-02-27
EC-00078,QI-08325,Engineering change addressing: material hardness below specification,in_progress,2026-04-06
EC-00079,QI-08134,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-02-19
EC-00080,QI-04442,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-07-20
EC-00081,QI-10973,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-02-25
EC-00082,QI-06627,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-02-23
EC-00083,QI-04674,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-02-04
EC-00084,QI-02861,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-07-21
EC-00085,QI-01892,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-07-08
EC-00086,QI-01418,Engineering change addressing: surface finish outside specification,in_progress,2026-05-01
EC-00087,QI-01012,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-03-06
EC-00088,QI-08052,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-02-11
EC-00089,QI-00986,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-02-06
EC-00090,QI-01695,Engineering change addressing: surface finish outside specification,in_progress,2026-08-10
EC-00091,QI-03793,Engineering change addressing: material hardness below specification,approved,2026-06-02
EC-00092,QI-00557,Engineering change addressing: surface finish outside specification,implemented,2026-05-21
EC-00093,QI-03764,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-08-13
EC-00094,QI-04803,Engineering change addressing: surface finish outside specification,in_progress,2026-02-06
EC-00095,QI-10571,Engineering change addressing: surface finish outside specification,implemented,2026-02-03
EC-00096,QI-08045,Engineering change addressing: material hardness below specification,implemented,2026-04-07
EC-00097,QI-09428,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-02-09
EC-00098,QI-09774,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-05-02
EC-00099,QI-01973,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-02-22
EC-00100,QI-11374,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-01-17
EC-00101,QI-04208,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-06-22
EC-00102,QI-07451,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-05-05
EC-00103,QI-00676,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-05-20
EC-00104,QI-11833,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-01-12
EC-00105,QI-06326,Engineering change addressing: surface finish outside specification,in_progress,2026-04-21
EC-00106,QI-06769,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-02-19
EC-00107,QI-07016,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-03-28
EC-00108,QI-01363,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-01-06
EC-00109,QI-07028,Engineering change addressing: surface finish outside specification,proposed,2026-01-15
EC-00110,QI-04871,Engineering change addressing: material hardness below specification,proposed,2026-04-24
EC-00111,QI-10086,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-02-13
EC-00112,QI-11317,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-04-22
EC-00113,QI-04126,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-01-14
EC-00114,QI-06494,Engineering change addressing: material hardness below specification,in_progress,2026-04-25
EC-00115,QI-03833,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-02-03
EC-00116,QI-06020,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-06-21
EC-00117,QI-03190,Engineering change addressing: material hardness below specification,approved,2026-02-23
EC-00118,QI-05349,Engineering change addressing: material hardness below specification,in_progress,2026-05-03
EC-00119,QI-10285,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-01-18
EC-00120,QI-06785,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-01-19
EC-00121,QI-02671,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-06-28
EC-00122,QI-10242,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-04-03
EC-00123,QI-04572,Engineering change addressing: material hardness below specification,in_progress,2026-08-06
EC-00124,QI-04762,Engineering change addressing: surface finish outside specification,proposed,2026-02-28
EC-00125,QI-03599,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-03-28
EC-00126,QI-05913,Engineering change addressing: surface finish outside specification,implemented,2026-03-24
EC-00127,QI-01877,Engineering change addressing: material hardness below specification,in_progress,2026-07-09
EC-00128,QI-04440,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-01-18
EC-00129,QI-10080,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-04-18
EC-00130,QI-10483,Engineering change addressing: surface finish outside specification,in_progress,2026-03-20
EC-00131,QI-00561,Engineering change addressing: surface finish outside specification,implemented,2026-02-07
EC-00132,QI-07036,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-03-12
EC-00133,QI-08261,Engineering change addressing: surface finish outside specification,implemented,2026-04-09
EC-00134,QI-04310,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-02-09
EC-00135,QI-02609,Engineering change addressing: surface finish outside specification,implemented,2026-07-17
EC-00136,QI-00798,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-06-07
EC-00137,QI-08020,Engineering change addressing: material hardness below specification,in_progress,2026-04-07
EC-00138,QI-00835,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-06-14
EC-00139,QI-02356,Engineering change addressing: surface finish outside specification,approved,2026-03-02
EC-00140,QI-02431,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-07-15
EC-00141,QI-04283,Engineering change addressing: surface finish outside specification,approved,2026-02-26
EC-00142,QI-09964,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-03-25
EC-00143,QI-10347,Engineering change addressing: surface finish outside specification,proposed,2026-05-21
EC-00144,QI-09163,Engineering change addressing: surface finish outside specification,approved,2026-01-08
EC-00145,QI-01876,Engineering change addressing: material hardness below specification,approved,2026-01-04
EC-00146,QI-10061,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-01-24
EC-00147,QI-01000,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-06-06
EC-00148,QI-02382,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-05-21
EC-00149,QI-01517,Engineering change addressing: material hardness below specification,proposed,2026-06-15
EC-00150,QI-09955,Engineering change addressing: material hardness below specification,approved,2026-06-19
EC-00151,QI-10367,Engineering change addressing: surface finish outside specification,implemented,2026-03-21
EC-00152,QI-07071,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-05-11
EC-00153,QI-04574,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-02-24
EC-00154,QI-05501,Engineering change addressing: material hardness below specification,proposed,2026-05-25
EC-00155,QI-00850,Engineering change addressing: material hardness below specification,approved,2026-02-08
EC-00156,QI-06421,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-06-21
EC-00157,QI-03256,Engineering change addressing: material hardness below specification,approved,2026-08-11
EC-00158,QI-05908,Engineering change addressing: material hardness below specification,implemented,2026-05-28
EC-00159,QI-00729,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-04-12
EC-00160,QI-00551,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-05-13
EC-00161,QI-06906,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-08-16
EC-00162,QI-02313,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-07-13
EC-00163,QI-07319,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-01-17
EC-00164,QI-05651,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-02-15
EC-00165,QI-06996,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-06-11
EC-00166,QI-00760,Engineering change addressing: material hardness below specification,implemented,2026-05-13
EC-00167,QI-10135,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-04-13
EC-00168,QI-01798,Engineering change addressing: seal leakage detected during pressure test,approved,2026-07-23
EC-00169,QI-10032,Engineering change addressing: surface finish outside specification,proposed,2026-06-22
EC-00170,QI-11004,Engineering change addressing: surface finish outside specification,approved,2026-05-24
EC-00171,QI-10960,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-02-25
EC-00172,QI-05224,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-06-28
EC-00173,QI-04745,Engineering change addressing: surface finish outside specification,proposed,2026-08-05
EC-00174,QI-06502,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-03-26
EC-00175,QI-09433,Engineering change addressing: material hardness below specification,approved,2026-02-04
EC-00176,QI-03032,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-07-16
EC-00177,QI-02275,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-03-12
EC-00178,QI-04576,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-03-19
EC-00179,QI-00726,Engineering change addressing: material hardness below specification,approved,2026-08-28
EC-00180,QI-01414,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-07-18
EC-00181,QI-08568,Engineering change addressing: material hardness below specification,approved,2026-05-18
EC-00182,QI-10111,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-02-27
EC-00183,QI-01586,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-07-27
EC-00184,QI-03342,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-06-09
EC-00185,QI-04519,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-05-24
EC-00186,QI-07728,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-05-24
EC-00187,QI-05856,Engineering change addressing: material hardness below specification,proposed,2026-03-12
EC-00188,QI-06355,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-06-12
EC-00189,QI-05683,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-04-15
EC-00190,QI-01741,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-08-16
EC-00191,QI-09525,Engineering change addressing: surface finish outside specification,proposed,2026-06-01
EC-00192,QI-05803,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-03-11
EC-00193,QI-10907,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-02-14
EC-00194,QI-09312,Engineering change addressing: material hardness below specification,approved,2026-08-04
EC-00195,QI-02075,Engineering change addressing: material hardness below specification,in_progress,2026-05-22
EC-00196,QI-08382,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-04-09
EC-00197,QI-01805,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-02-11
EC-00198,QI-10729,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-01-18
EC-00199,QI-03101,Engineering change addressing: material hardness below specification,proposed,2026-01-01
EC-00200,QI-08321,Engineering change addressing: material hardness below specification,approved,2026-01-24
EC-00201,QI-08177,Engineering change addressing: surface finish outside specification,implemented,2026-01-06
EC-00202,QI-02871,Engineering change addressing: seal leakage detected during pressure test,approved,2026-08-19
EC-00203,QI-02482,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-05-10
EC-00204,QI-06973,Engineering change addressing: surface finish outside specification,implemented,2026-02-07
EC-00205,QI-08614,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-04-20
EC-00206,QI-09011,Engineering change addressing: material hardness below specification,in_progress,2026-07-20
EC-00207,QI-00609,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-01-10
EC-00208,QI-04342,Engineering change addressing: material hardness below specification,approved,2026-01-19
EC-00209,QI-09364,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-01-27
EC-00210,QI-00462,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-07-06
EC-00211,QI-01689,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-08-03
EC-00212,QI-10282,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-05-19
EC-00213,QI-07816,Engineering change addressing: material hardness below specification,proposed,2026-05-06
EC-00214,QI-03590,Engineering change addressing: material hardness below specification,implemented,2026-01-22
EC-00215,QI-08465,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-04-21
EC-00216,QI-10688,Engineering change addressing: intermittent sensor reading failure under load,in_progress,2026-03-01
EC-00217,QI-11081,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-03-24
EC-00218,QI-10299,Engineering change addressing: surface finish outside specification,in_progress,2026-04-04
EC-00219,QI-01111,Engineering change addressing: surface finish outside specification,in_progress,2026-07-07
EC-00220,QI-03236,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-06-06
EC-00221,QI-06338,Engineering change addressing: surface finish outside specification,proposed,2026-08-20
EC-00222,QI-03138,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-06-24
EC-00223,QI-02390,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-05-18
EC-00224,QI-03041,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-05-10
EC-00225,QI-01178,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-01-05
EC-00226,QI-06287,Engineering change addressing: surface finish outside specification,proposed,2026-07-02
EC-00227,QI-02273,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-04-14
EC-00228,QI-01959,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-04-06
EC-00229,QI-04100,Engineering change addressing: material hardness below specification,approved,2026-04-06
EC-00230,QI-06352,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-04-07
EC-00231,QI-04954,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-01-03
EC-00232,QI-04830,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-03-16
EC-00233,QI-11651,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-05-10
EC-00234,QI-02868,Engineering change addressing: material hardness below specification,proposed,2026-04-12
EC-00235,QI-10560,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-04-16
EC-00236,QI-09759,Engineering change addressing: material hardness below specification,in_progress,2026-06-14
EC-00237,QI-10671,Engineering change addressing: seal leakage detected during pressure test,approved,2026-03-24
EC-00238,QI-02789,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-06-26
EC-00239,QI-02099,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-01-06
EC-00240,QI-11726,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-06-15
EC-00241,QI-09392,Engineering change addressing: material hardness below specification,implemented,2026-08-14
EC-00242,QI-06395,Engineering change addressing: material hardness below specification,implemented,2026-07-23
EC-00243,QI-01815,Engineering change addressing: material hardness below specification,approved,2026-08-27
EC-00244,QI-01690,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-02-07
EC-00245,QI-05199,Engineering change addressing: surface finish outside specification,implemented,2026-01-26
EC-00246,QI-10165,Engineering change addressing: surface finish outside specification,in_progress,2026-01-28
EC-00247,QI-08051,Engineering change addressing: seal leakage detected during pressure test,approved,2026-01-15
EC-00248,QI-02157,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-05-18
EC-00249,QI-10541,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-05-04
EC-00250,QI-06514,Engineering change addressing: material hardness below specification,implemented,2026-04-07
EC-00251,QI-00295,Engineering change addressing: surface finish outside specification,approved,2026-06-21
EC-00252,QI-04215,Engineering change addressing: material hardness below specification,in_progress,2026-03-23
EC-00253,QI-06516,Engineering change addressing: surface finish outside specification,approved,2026-04-03
EC-00254,QI-06347,Engineering change addressing: surface finish outside specification,in_progress,2026-08-01
EC-00255,QI-06311,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-03-25
EC-00256,QI-04158,Engineering change addressing: seal leakage detected during pressure test,implemented,2026-02-18
EC-00257,QI-06894,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-01-21
EC-00258,QI-00772,Engineering change addressing: surface finish outside specification,approved,2026-03-03
EC-00259,QI-09569,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-06-17
EC-00260,QI-08864,Engineering change addressing: seal leakage detected during pressure test,proposed,2026-05-09
EC-00261,QI-00701,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-01-21
EC-00262,QI-02403,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-04-01
EC-00263,QI-07422,Engineering change addressing: material hardness below specification,implemented,2026-04-26
EC-00264,QI-03288,Engineering change addressing: material hardness below specification,approved,2026-02-10
EC-00265,QI-05717,Engineering change addressing: dimensional deviation detected during incoming inspection,approved,2026-05-21
EC-00266,QI-03425,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-01-03
EC-00267,QI-07880,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-04-05
EC-00268,QI-06004,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-07-05
EC-00269,QI-11707,Engineering change addressing: surface finish outside specification,in_progress,2026-08-21
EC-00270,QI-08480,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-01-19
EC-00271,QI-03416,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-03-01
EC-00272,QI-03081,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-03-25
EC-00273,QI-03493,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-07-03
EC-00274,QI-08378,Engineering change addressing: surface finish outside specification,approved,2026-07-17
EC-00275,QI-03083,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-02-25
EC-00276,QI-00657,Engineering change addressing: dimensional deviation detected during incoming inspection,proposed,2026-05-07
EC-00277,QI-03520,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-04-11
EC-00278,QI-10100,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-06-17
EC-00279,QI-08191,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-07-18
EC-00280,QI-01545,Engineering change addressing: fastener torque inconsistency observed on assembly line,proposed,2026-06-19
EC-00281,QI-06775,Engineering change addressing: surface finish outside specification,implemented,2026-08-18
EC-00282,QI-03929,Engineering change addressing: seal leakage detected during pressure test,in_progress,2026-01-05
EC-00283,QI-07869,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-03-23
EC-00284,QI-07121,Engineering change addressing: intermittent sensor reading failure under load,implemented,2026-05-08
EC-00285,QI-04741,Engineering change addressing: surface finish outside specification,approved,2026-06-05
EC-00286,QI-07637,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-03-24
EC-00287,QI-05881,Engineering change addressing: surface finish outside specification,approved,2026-06-01
EC-00288,QI-10537,Engineering change addressing: fastener torque inconsistency observed on assembly line,approved,2026-03-11
EC-00289,QI-05101,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-02-05
EC-00290,QI-06534,Engineering change addressing: surface finish outside specification,proposed,2026-06-26
EC-00291,QI-04434,Engineering change addressing: material hardness below specification,proposed,2026-07-24
EC-00292,QI-05091,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-03-12
EC-00293,QI-01638,Engineering change addressing: surface finish outside specification,in_progress,2026-07-05
EC-00294,QI-03935,Engineering change addressing: material hardness below specification,approved,2026-01-14
EC-00295,QI-10190,Engineering change addressing: fastener torque inconsistency observed on assembly line,implemented,2026-08-26
EC-00296,QI-02066,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-01-23
EC-00297,QI-11415,Engineering change addressing: material hardness below specification,in_progress,2026-08-01
EC-00298,QI-01906,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-08-09
EC-00299,QI-06430,Engineering change addressing: dimensional deviation detected during incoming inspection,in_progress,2026-02-21
EC-00300,QI-10995,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-07-15
EC-00301,QI-07299,Engineering change addressing: surface finish outside specification,approved,2026-05-27
EC-00302,QI-08072,Engineering change addressing: intermittent sensor reading failure under load,approved,2026-05-13
EC-00303,QI-11736,Engineering change addressing: dimensional deviation detected during incoming inspection,implemented,2026-06-19
EC-00304,QI-11847,Engineering change addressing: material hardness below specification,implemented,2026-03-01
EC-00305,QI-06717,Engineering change addressing: intermittent sensor reading failure under load,proposed,2026-02-06
EC-00306,QI-06334,Engineering change addressing: surface finish outside specification,implemented,2026-04-14
EC-00307,QI-10077,Engineering change addressing: fastener torque inconsistency observed on assembly line,in_progress,2026-07-21
EC-00308,QI-11053,Engineering change addressing: seal leakage detected during pressure test,approved,2026-06-14
EC-00309,QI-00854,Engineering change addressing: material hardness below specification,in_progress,2026-01-21
