issue_id,part_id,factory_id,summary,severity,status,defect_rate_percent,detected_at
QI-00042,PART-02560,FAC-001,Fastener torque inconsistency observed on assembly line,low,investigating,6.5,2026-05-12
QI-00043,PART-00973,FAC-038,Fastener torque inconsistency observed on assembly line,high,resolved,6.01,2026-05-06
QI-00044,PART-04445,FAC-010,Fastener torque inconsistency observed on assembly line,high,open,10.3,2026-06-22
QI-00045,PART-00713,FAC-013,Intermittent sensor reading failure under load,medium,open,3.84,2026-05-01
QI-00046,PART-00302,FAC-003,Surface finish outside specification,medium,investigating,1.55,2026-03-04
QI-00047,PART-01805,FAC-035,Dimensional deviation detected during incoming inspection,critical,resolved,8.57,2026-04-08
QI-00048,PART-00206,FAC-035,Material hardness below specification,medium,engineering_review,0.51,2026-06-28
QI-00049,PART-01126,FAC-023,Seal leakage detected during pressure test,critical,investigating,10.51,2026-01-25
QI-00050,PART-03279,FAC-021,Intermittent sensor reading failure under load,critical,engineering_review,8.12,2026-05-13
QI-00051,PART-02850,FAC-005,Material hardness below specification,critical,resolved,6.86,2026-05-18
QI-00052,PART-03429,FAC-021,Surface finish outside specification,medium,engineering_review,2.54,2026-01-16
QI-00053,PART-02893,FAC-007,Dimensional deviation detected during incoming inspection,medium,resolved,9.08,2026-02-06
QI-00054,PART-04544,FAC-006,Intermittent sensor reading failure under load,high,engineering_review,8.25,2026-01-27
QI-00055,PART-00139,FAC-002,Dimensional deviation detected during incoming inspection,critical,resolved,1.73,2026-04-15
QI-00056,PART-04666,FAC-022,Material hardness below specification,low,resolved,1.11,2026-06-27
QI-00057,PART-03875,FAC-006,Seal leakage detected during pressure test,critical,resolved,7.63,2026-05-02
QI-00058,PART-01409,FAC-010,Surface finish outside specification,low,investigating,11.63,2026-01-24
QI-00059,PART-04645,FAC-014,Dimensional deviation detected during incoming inspection,critical,resolved,5.79,2026-07-28
QI-00060,PART-04403,FAC-010,Intermittent sensor reading failure under load,low,open,3.58,2026-05-09
QI-00061,PART-04977,FAC-008,Dimensional deviation detected during incoming inspection,medium,investigating,4.63,2026-03-03
QI-00062,PART-00429,FAC-005,Material hardness below specification,low,resolved,11.07,2026-08-01
QI-00063,PART-04093,FAC-006,Intermittent sensor reading failure under load,high,investigating,4.69,2026-05-07
QI-00064,PART-00753,FAC-011,Dimensional deviation detected during incoming inspection,medium,investigating,0.79,2026-04-09
QI-00065,PART-01662,FAC-023,Seal leakage detected during pressure test,high,open,11.38,2026-02-16
QI-00066,PART-02367,FAC-004,Material hardness below specification,medium,engineering_review,0.14,2026-04-06
QI-00067,PART-04654,FAC-011,Material hardness below specification,medium,engineering_review,8.37,2026-02-27
QI-00068,PART-01091,FAC-009,Material hardness below specification,low,engineering_review,1.31,2026-03-01
QI-00069,PART-02882,FAC-023,Surface finish outside specification,low,open,11.61,2026-07-24
QI-00070,PART-02523,FAC-032,Surface finish outside specification,low,resolved,0.58,2026-01-08
QI-00071,PART-01829,FAC-022,Dimensional deviation detected during incoming inspection,high,investigating,9.93,2026-03-25
QI-00072,PART-04797,FAC-007,Fastener torque inconsistency observed on assembly line,medium,open,2.94,2026-05-23
QI-00073,PART-03576,FAC-015,Intermittent sensor reading failure under load,high,open,6.0,2026-06-21
QI-00074,PART-04837,FAC-005,Surface finish outside specification,low,resolved,6.22,2026-06-10
QI-00075,PART-04769,FAC-003,Intermittent sensor reading failure under load,high,resolved,1.24,2026-03-15
QI-00076,PART-00996,FAC-036,Intermittent sensor reading failure under load,high,investigating,3.85,2026-06-20
QI-00077,PART-04223,FAC-022,Fastener torque inconsistency observed on assembly line,medium,open,6.3,2026-04-03
QI-00078,PART-00964,FAC-019,Seal leakage detected during pressure test,low,open,9.5,2026-06-07
QI-00079,PART-01827,FAC-011,Surface finish outside specification,low,resolved,3.53,2026-03-03
QI-00080,PART-04724,FAC-003,Surface finish outside specification,low,investigating,11.11,2026-03-14
QI-00081,PART-01190,FAC-007,Fastener torque inconsistency observed on assembly line,critical,open,7.63,2026-08-25
QI-00082,PART-00324,FAC-003,Dimensional deviation detected during incoming inspection,low,open,6.56,2026-01-15
QI-00083,PART-00709,FAC-021,Intermittent sensor reading failure under load,critical,resolved,11.68,2026-01-12
QI-00084,PART-04292,FAC-001,Intermittent sensor reading failure under load,critical,investigating,9.94,2026-03-17
QI-00085,PART-04832,FAC-035,Surface finish outside specification,medium,resolved,11.89,2026-08-18
QI-00086,PART-02287,FAC-020,Material hardness below specification,critical,resolved,4.54,2026-01-26
QI-00087,PART-03646,FAC-036,Surface finish outside specification,critical,investigating,4.63,2026-02-13
QI-00088,PART-02412,FAC-022,Dimensional deviation detected during incoming inspection,low,open,9.27,2026-01-03
QI-00089,PART-04200,FAC-009,Fastener torque inconsistency observed on assembly line,medium,investigating,10.06,2026-08-13
QI-00090,PART-02263,FAC-013,Material hardness below specification,low,investigating,11.6,2026-02-07
QI-00091,PART-01291,FAC-014,Seal leakage detected during pressure test,low,engineering_review,8.24,2026-07-21
QI-00092,PART-01910,FAC-020,Seal leakage detected during pressure test,critical,resolved,4.64,2026-01-20
QI-00093,PART-04839,FAC-012,Fastener torque inconsistency observed on assembly line,medium,engineering_review,0.14,2026-07-07
QI-00094,PART-02596,FAC-008,Material hardness below specification,critical,engineering_review,7.54,2026-01-03
QI-00095,PART-03318,FAC-005,Dimensional deviation detected during incoming inspection,medium,investigating,9.99,2026-03-04
QI-00096,PART-00718,FAC-005,Dimensional deviation detected during incoming inspection,high,investigating,2.32,2026-04-13
QI-00097,PART-01051,FAC-025,Surface finish outside specification,medium,resolved,4.15,2026-04-17
QI-00098,PART-01890,FAC-008,Fastener torque inconsistency observed on assembly line,medium,engineering_review,7.05,2026-03-26
QI-00099,PART-02268,FAC-002,Fastener torque inconsistency observed on assembly line,high,investigating,1.36,2026-06-26
QI-00100,PART-04722,FAC-007,Seal leakage detected during pressure test,high,resolved,0.73,2026-05-25
QI-00101,PART-01841,FAC-037,Fastener torque inconsistency observed on assembly line,medium,open,6.0,2026-03-25
QI-00102,PART-04311,FAC-026,Seal leakage detected during pressure test,high,open,11.58,2026-07-06
QI-00103,PART-04482,FAC-007,Intermittent sensor reading failure under load,medium,open,7.39,2026-06-24
QI-00104,PART-03785,FAC-003,Material hardness below specification,medium,engineering_review,6.3,2026-04-20
QI-00105,PART-03209,FAC-018,Dimensional deviation detected during incoming inspection,high,engineering_review,2.42,2026-07-02
QI-00106,PART-03073,FAC-005,Seal leakage detected during pressure test,critical,investigating,0.41,2026-03-22
QI-00107,PART-03638,FAC-026,Surface finish outside specification,critical,resolved,7.51,2026-05-07
QI-00108,PART-00826,FAC-040,Dimensional deviation detected during incoming inspection,high,engineering_review,5.43,2026-03-27
QI-00109,PART-01578,FAC-005,Material hardness below specification,critical,resolved,7.34,2026-06-12
QI-00110,PART-04933,FAC-007,Surface finish outside specification,low,resolved,4.5,2026-07-03
QI-00111,PART-00203,FAC-002,Material hardness below specification,high,resolved,10.57,2026-05-12
QI-00112,PART-04530,FAC-007,Seal leakage detected during pressure test,medium,engineering_review,5.9,2026-06-18
QI-00113,PART-00369,FAC-007,Material hardness below specification,low,resolved,11.71,2026-07-13
QI-00114,PART-02156,FAC-010,Dimensional deviation detected during incoming inspection,critical,open,4.14,2026-03-27
QI-00115,PART-04718,FAC-012,Seal leakage detected during pressure test,medium,engineering_review,8.68,2026-04-10
QI-00116,PART-01178,FAC-003,Material hardness below specification,low,open,5.78,2026-01-22
QI-00117,PART-00854,FAC-009,Fastener torque inconsistency observed on assembly line,low,open,8.06,2026-08-07
QI-00118,PART-02974,FAC-015,Surface finish outside specification,low,engineering_review,4.34,2026-05-02
QI-00119,PART-04575,FAC-002,Seal leakage detected during pressure test,high,investigating,6.1,2026-01-24
QI-00120,PART-02091,FAC-009,Seal leakage detected during pressure test,low,resolved,6.54,2026-05-03
QI-00121,PART-01665,FAC-011,Dimensional deviation detected during incoming inspection,high,engineering_review,9.98,2026-07-28
QI-00122,PART-00799,FAC-022,Intermittent sensor reading failure under load,low,open,11.29,2026-07-27
QI-00123,PART-02456,FAC-009,Surface finish outside specification,medium,investigating,11.55,2026-07-24
QI-00124,PART-03993,FAC-018,Dimensional deviation detected during incoming inspection,high,engineering_review,1.49,2026-06-10
QI-00125,PART-00886,FAC-008,Surface finish outside specification,medium,investigating,0.15,2026-08-06
QI-00126,PART-04153,FAC-010,Intermittent sensor reading failure under load,critical,engineering_review,3.5,2026-07-02
QI-00127,PART-03427,FAC-021,Material hardness below specification,low,resolved,2.1,2026-01-12
QI-00128,PART-02295,FAC-001,Fastener torque inconsistency observed on assembly line,critical,engineering_review,6.32,2026-04-04
QI-00129,PART-01257,FAC-026,Intermittent sensor reading failure under load,critical,resolved,9.51,2026-02-15
QI-00130,PART-04215,FAC-037,Surface finish outside specification,low,investigating,10.63,2026-05-28
QI-00131,PART-02756,FAC-002,Intermittent sensor reading failure under load,high,open,2.25,2026-04-27
QI-00132,PART-02780,FAC-039,Intermittent sensor reading failure under load,critical,open,1.45,2026-04-04
QI-00133,PART-00402,FAC-006,Fastener torque inconsistency observed on assembly line,medium,engineering_review,1.73,2026-05-23
QI-00134,PART-00970,FAC-024,Dimensional deviation detected during incoming inspection,low,engineering_review,11.55,2026-02-25
QI-00135,PART-00129,FAC-037,Intermittent sensor reading failure under load,high,investigating,9.34,2026-08-22
QI-00136,PART-02230,FAC-022,Dimensional deviation detected during incoming inspection,high,open,0.36,2026-04-03
QI-00137,PART-02160,FAC-025,Fastener torque inconsistency observed on assembly line,high,engineering_review,4.66,2026-01-10
QI-00138,PART-00331,FAC-009,Dimensional deviation detected during incoming inspection,high,engineering_review,11.82,2026-08-08
QI-00139,PART-00769,FAC-017,Seal leakage detected during pressure test,critical,investigating,4.39,2026-05-07
QI-00140,PART-03893,FAC-012,Material hardness below specification,critical,investigating,6.58,2026-06-13
QI-00141,PART-03370,FAC-021,Dimensional deviation detected during incoming inspection,high,engineering_review,10.46,2026-02-05
QI-00142,PART-00851,FAC-007,Dimensional deviation detected during incoming inspection,high,resolved,7.8,2026-02-02
QI-00143,PART-00418,FAC-031,Dimensional deviation detected during incoming inspection,low,engineering_review,0.11,2026-04-05
QI-00144,PART-03746,FAC-033,Intermittent sensor reading failure under load,medium,engineering_review,6.24,2026-04-21
QI-00145,PART-00949,FAC-003,Seal leakage detected during pressure test,critical,investigating,3.46,2026-06-25
QI-00146,PART-04999,FAC-007,Seal leakage detected during pressure test,low,engineering_review,6.02,2026-02-20
QI-00147,PART-00705,FAC-033,Intermittent sensor reading failure under load,medium,engineering_review,7.44,2026-01-07
QI-00148,PART-00890,FAC-038,Seal leakage detected during pressure test,critical,resolved,6.97,2026-06-09
QI-00149,PART-04531,FAC-006,Seal leakage detected during pressure test,high,resolved,5.33,2026-07-07
QI-00150,PART-04483,FAC-031,Material hardness below specification,low,resolved,3.39,2026-03-19
QI-00151,PART-01659,FAC-024,Dimensional deviation detected during incoming inspection,high,investigating,8.95,2026-08-11
QI-00152,PART-04625,FAC-012,Intermittent sensor reading failure under load,high,resolved,3.17,2026-06-25
QI-00153,PART-00084,FAC-006,Fastener torque inconsistency observed on assembly line,medium,resolved,1.74,2026-05-10
QI-00154,PART-01338,FAC-025,Intermittent sensor reading failure under load,high,engineering_review,9.26,2026-03-04
QI-00155,PART-03195,FAC-001,Fastener torque inconsistency observed on assembly line,critical,resolved,4.58,2026-01-19
QI-00156,PART-01273,FAC-007,Fastener torque inconsistency observed on assembly line,medium,resolved,5.84,2026-07-12
QI-00157,PART-02650,FAC-011,Fastener torque inconsistency observed on assembly line,high,investigating,2.63,2026-02-20
QI-00158,PART-04726,FAC-036,Surface finish outside specification,medium,open,6.04,2026-02-12
QI-00159,PART-04603,FAC-021,Seal leakage detected during pressure test,critical,engineering_review,9.08,2026-02-08
QI-00160,PART-04944,FAC-028,Surface finish outside specification,high,investigating,7.38,2026-05-19
QI-00161,PART-03567,FAC-031,Surface finish outside specification,low,resolved,11.46,2026-02-15
QI-00162,PART-03831,FAC-015,Dimensional deviation detected during incoming inspection,critical,engineering_review,11.5,2026-08-20
QI-00163,PART-04789,FAC-003,Surface finish outside specification,high,investigating,1.96,2026-01-22
QI-00164,PART-03679,FAC-002,Surface finish outside specification,medium,resolved,4.52,2026-06-06
QI-00165,PART-01063,FAC-016,Fastener torque inconsistency observed on assembly line,medium,open,8.12,2026-06-01
QI-00166,PART-00470,FAC-024,Material hardness below specification,critical,resolved,7.8,2026-02-07
QI-00167,PART-04379,FAC-023,Intermittent sensor reading failure under load,low,investigating,2.83,2026-07-06
QI-00168,PART-03936,FAC-036,Intermittent sensor reading failure under load,medium,engineering_review,1.93,2026-06-28
QI-00169,PART-03146,FAC-039,Fastener torque inconsistency observed on assembly line,high,engineering_review,3.06,2026-07-02
QI-00170,PART-00651,FAC-004,Intermittent sensor reading failure under load,medium,engineering_review,8.05,2026-04-04
QI-00171,PART-03516,FAC-003,Seal leakage detected during pressure test,high,investigating,9.27,2026-01-09
QI-00172,PART-01330,FAC-014,Dimensional deviation detected during incoming inspection,high,engineering_review,3.57,2026-01-03
QI-00173,PART-00502,FAC-010,Dimensional deviation detected during incoming inspection,critical,resolved,1.02,2026-02-05
QI-00174,PART-04838,FAC-023,Dimensional deviation detected during incoming inspection,low,investigating,2.84,2026-03-21
QI-00175,PART-03518,FAC-013,Seal leakage detected during pressure test,critical,open,1.62,2026-03-04
QI-00176,PART-01909,FAC-036,Surface finish outside specification,high,resolved,4.38,2026-06-17
QI-00177,PART-03835,FAC-027,Intermittent sensor reading failure under load,critical,resolved,9.29,2026-06-26
QI-00178,PART-04999,FAC-007,Intermittent sensor reading failure under load,critical,resolved,10.81,2026-06-09
QI-00179,PART-02796,FAC-015,Material hardness below specification,critical,engineering_review,0.2,2026-03-06
QI-00180,PART-03647,FAC-008,Dimensional deviation detected during incoming inspection,high,investigating,7.09,2026-04-23
QI-00181,PART-02983,FAC-015,Dimensional deviation detected during incoming inspection,medium,open,6.53,2026-07-13
QI-00182,PART-04021,FAC-016,Surface finish outside specification,high,open,1.07,2026-05-03
QI-00183,PART-02224,FAC-010,Material hardness below specification,critical,investigating,5.06,2026-05-16
QI-00184,PART-01190,FAC-007,Fastener torque inconsistency observed on assembly line,high,open,2.14,2026-01-13
QI-00185,PART-00566,FAC-040,Dimensional deviation detected during incoming inspection,low,resolved,5.83,2026-05-11
QI-00186,PART-03694,FAC-006,Seal leakage detected during pressure test,critical,investigating,5.42,2026-01-17
QI-00187,PART-04317,FAC-006,Seal leakage detected during pressure test,medium,engineering_review,6.09,2026-06-13
QI-00188,PART-00665,FAC-033,Fastener torque inconsistency observed on assembly line,low,resolved,2.6,2026-06-23
QI-00189,PART-01123,FAC-015,Fastener torque inconsistency observed on assembly line,critical,open,10.13,2026-06-15
QI-00190,PART-02292,FAC-021,Surface finish outside specification,medium,engineering_review,6.55,2026-01-07
QI-00191,PART-04492,FAC-030,Fastener torque inconsistency observed on assembly line,critical,investigating,4.4,2026-06-02
QI-00192,PART-02897,FAC-021,Intermittent sensor reading failure under load,medium,investigating,7.46,2026-03-05
QI-00193,PART-04576,FAC-035,Surface finish outside specification,high,investigating,4.97,2026-04-24
QI-00194,PART-01350,FAC-007,Dimensional deviation detected during incoming inspection,low,investigating,7.04,2026-01-14
QI-00195,PART-01158,FAC-035,Material hardness below specification,medium,open,5.17,2026-04-04
QI-00196,PART-02318,FAC-029,Intermittent sensor reading failure under load,high,resolved,0.61,2026-06-22
QI-00197,PART-04356,FAC-039,Surface finish outside specification,medium,open,4.81,2026-03-09
QI-00198,PART-01817,FAC-013,Fastener torque inconsistency observed on assembly line,low,resolved,9.13,2026-07-19
QI-00199,PART-04322,FAC-008,Dimensional deviation detected during incoming inspection,critical,engineering_review,5.68,2026-04-28
QI-00200,PART-03030,FAC-033,Dimensional deviation detected during incoming inspection,high,open,0.98,2026-04-01
QI-00201,PART-00039,FAC-014,Surface finish outside specification,medium,engineering_review,6.73,2026-04-24
QI-00202,PART-01443,FAC-011,Seal leakage detected during pressure test,medium,engineering_review,3.91,2026-06-14
QI-00203,PART-03034,FAC-025,Material hardness below specification,critical,investigating,11.75,2026-01-04
QI-00204,PART-04942,FAC-030,Material hardness below specification,high,resolved,1.4,2026-07-18
QI-00205,PART-04003,FAC-002,Seal leakage detected during pressure test,medium,resolved,10.38,2026-03-16
QI-00206,PART-00857,FAC-005,Surface finish outside specification,critical,open,1.84,2026-02-10
QI-00207,PART-02527,FAC-025,Surface finish outside specification,critical,open,7.65,2026-05-26
QI-00208,PART-00083,FAC-038,Surface finish outside specification,medium,investigating,11.28,2026-05-07
QI-00209,PART-03105,FAC-023,Dimensional deviation detected during incoming inspection,high,engineering_review,11.58,2026-03-11
QI-00210,PART-02844,FAC-005,Seal leakage detected during pressure test,high,open,0.82,2026-08-19
QI-00211,PART-04817,FAC-036,Material hardness below specification,critical,open,1.96,2026-08-15
QI-00212,PART-02084,FAC-001,Fastener torque inconsistency observed on assembly line,critical,resolved,9.32,2026-03-07
QI-00213,PART-04773,FAC-005,Surface finish outside specification,low,resolved,2.01,2026-03-13
QI-00214,PART-03671,FAC-013,Fastener torque inconsistency observed on assembly line,critical,engineering_review,5.41,2026-04-03
QI-00215,PART-03109,FAC-012,Intermittent sensor reading failure under load,high,engineering_review,5.08,2026-06-27
QI-00216,PART-01444,FAC-013,Intermittent sensor reading failure under load,medium,open,6.5,2026-08-18
QI-00217,PART-00059,FAC-001,Fastener torque inconsistency observed on assembly line,medium,engineering_review,11.57,2026-07-01
QI-00218,PART-03916,FAC-025,Material hardness below specification,high,resolved,1.94,2026-06-12
QI-00219,PART-01676,FAC-029,Intermittent sensor reading failure under load,high,resolved,5.33,2026-04-07
QI-00220,PART-01154,FAC-017,Surface finish outside specification,low,resolved,8.75,2026-07-22
QI-00221,PART-01262,FAC-006,Fastener torque inconsistency observed on assembly line,low,open,3.54,2026-03-17
QI-00222,PART-01078,FAC-013,Seal leakage detected during pressure test,low,resolved,11.25,2026-07-24
QI-00223,PART-00545,FAC-035,Seal leakage detected during pressure test,low,investigating,8.89,2026-07-20
QI-00224,PART-01705,FAC-003,Fastener torque inconsistency observed on assembly line,critical,engineering_review,1.31,2026-03-19
QI-00225,PART-01280,FAC-004,Seal leakage detected during pressure test,critical,investigating,1.28,2026-03-23
QI-00226,PART-04769,FAC-003,Material hardness below specification,critical,engineering_review,3.55,2026-04-02
QI-00227,PART-04618,FAC-018,Surface finish outside specification,critical,engineering_review,7.25,2026-08-28
QI-00228,PART-02642,FAC-029,Seal leakage detected during pressure test,high,resolved,5.26,2026-08-21
QI-00229,PART-03207,FAC-006,Dimensional deviation detected during incoming inspection,low,open,4.55,2026-06-18
QI-00230,PART-03002,FAC-034,Intermittent sensor reading failure under load,critical,engineering_review,4.41,2026-06-06
QI-00231,PART-03664,FAC-035,Dimensional deviation detected during incoming inspection,critical,engineering_review,6.16,2026-06-23
QI-00232,PART-01807,FAC-005,Dimensional deviation detected during incoming inspection,low,engineering_review,10.37,2026-05-27
QI-00233,PART-04873,FAC-005,Dimensional deviation detected during incoming inspection,high,engineering_review,6.84,2026-05-11
QI-00234,PART-01347,FAC-008,Surface finish outside specification,low,investigating,10.77,2026-04-28
QI-00235,PART-00680,FAC-005,Dimensional deviation detected during incoming inspection,low,open,7.35,2026-06-16
QI-00236,PART-02265,FAC-002,Seal leakage detected during pressure test,medium,resolved,8.87,2026-06-17
QI-00237,PART-01316,FAC-003,Fastener torque inconsistency observed on assembly line,high,investigating,5.39,2026-01-14
QI-00238,PART-01508,FAC-023,Intermittent sensor reading failure under load,high,open,4.48,2026-07-27
QI-00239,PART-00679,FAC-007,Surface finish outside specification,critical,open,1.97,2026-01-19
QI-00240,PART-04285,FAC-010,Seal leakage detected during pressure test,medium,resolved,2.3,2026-07-20
QI-00241,PART-03407,FAC-034,Surface finish outside specification,low,engineering_review,0.21,2026-02-21
QI-00242,PART-01105,FAC-020,Surface finish outside specification,critical,open,1.59,2026-01-18
QI-00243,PART-01658,FAC-009,Dimensional deviation detected during incoming inspection,high,resolved,11.49,2026-02-01
QI-00244,PART-01161,FAC-005,Intermittent sensor reading failure under load,high,investigating,7.02,2026-04-05
QI-00245,PART-03646,FAC-036,Fastener torque inconsistency observed on assembly line,low,engineering_review,6.96,2026-03-27
QI-00246,PART-03529,FAC-006,Intermittent sensor reading failure under load,low,open,6.97,2026-08-09
QI-00247,PART-00503,FAC-003,Dimensional deviation detected during incoming inspection,high,engineering_review,9.08,2026-03-24
QI-00248,PART-02115,FAC-016,Surface finish outside specification,high,resolved,6.33,2026-01-28
QI-00249,PART-00855,FAC-015,Intermittent sensor reading failure under load,high,open,0.42,2026-03-27
QI-00250,PART-04744,FAC-029,Seal leakage detected during pressure test,high,resolved,3.9,2026-06-01
QI-00251,PART-02062,FAC-011,Surface finish outside specification,low,investigating,5.2,2026-03-15
QI-00252,PART-04462,FAC-016,Seal leakage detected during pressure test,low,investigating,9.65,2026-06-18
QI-00253,PART-01486,FAC-032,Seal leakage detected during pressure test,critical,resolved,7.8,2026-05-16
QI-00254,PART-01831,FAC-018,Dimensional deviation detected during incoming inspection,low,resolved,3.34,2026-08-05
QI-00255,PART-03732,FAC-025,Dimensional deviation detected during incoming inspection,critical,investigating,5.22,2026-08-25
QI-00256,PART-00608,FAC-006,Seal leakage detected during pressure test,medium,resolved,3.54,2026-06-21
QI-00257,PART-01842,FAC-004,Surface finish outside specification,critical,investigating,10.72,2026-06-28
QI-00258,PART-02797,FAC-024,Fastener torque inconsistency observed on assembly line,medium,open,5.85,2026-01-04
QI-00259,PART-02267,FAC-003,Material hardness below specification,critical,engineering_review,10.07,2026-02-21
QI-00260,PART-04551,FAC-002,Fastener torque inconsistency observed on assembly line,medium,resolved,9.94,2026-04-22
QI-00261,PART-01814,FAC-001,Dimensional deviation detected during incoming inspection,critical,resolved,1.35,2026-03-23
QI-00262,PART-04221,FAC-003,Material hardness below specification,critical,open,11.05,2026-06-20
QI-00263,PART-01245,FAC-021,Surface finish outside specification,critical,engineering_review,8.81,2026-08-26
QI-00264,PART-00175,FAC-028,Intermittent sensor reading failure under load,low,investigating,4.17,2026-07-14
QI-00265,PART-01137,FAC-033,Intermittent sensor reading failure under load,high,investigating,5.94,2026-03-16
QI-00266,PART-02221,FAC-006,Dimensional deviation detected during incoming inspection,low,investigating,0.99,2026-07-18
QI-00267,PART-03886,FAC-009,Seal leakage detected during pressure test,medium,resolved,6.35,2026-04-02
QI-00268,PART-03135,FAC-020,Dimensional deviation detected during incoming inspection,low,investigating,9.74,2026-03-04
QI-00269,PART-03144,FAC-006,Intermittent sensor reading failure under load,medium,resolved,11.59,2026-07-08
QI-00270,PART-00992,FAC-040,Fastener torque inconsistency observed on assembly line,low,engineering_review,9.92,2026-06-11
QI-00271,PART-03041,FAC-030,Surface finish outside specification,low,engineering_review,6.77,2026-07-15
QI-00272,PART-01998,FAC-015,Surface finish outside specification,low,resolved,0.34,2026-06-19
QI-00273,PART-01846,FAC-031,Intermittent sensor reading failure under load,medium,open,2.37,2026-05-16
QI-00274,PART-03892,FAC-022,Intermittent sensor reading failure under load,critical,engineering_review,10.33,2026-08-22
QI-00275,PART-01849,FAC-014,Seal leakage detected during pressure test,high,investigating,5.94,2026-05-12
QI-00276,PART-00230,FAC-005,Dimensional deviation detected during incoming inspection,medium,investigating,0.94,2026-03-24
QI-00277,PART-02536,FAC-014,Seal leakage detected during pressure test,medium,engineering_review,1.88,2026-05-23
QI-00278,PART-02725,FAC-005,Seal leakage detected during pressure test,critical,investigating,0.71,2026-01-02
